the	{"determiner": ["cái", "con", "những"]}
land	{"noun": ["đất", "đất đai"], "verb": ["hạ cánh"]}
recent	{"adjective": ["gần đây"]}
describe	{"verb": ["mô tả", "diễn tả"]}
product	{"noun": ["sản phẩm"]}
doctor	{"noun": ["bác sĩ"]}
wall	{"noun": ["bức tường"]}
patient	{"noun": ["bệnh nhân"], "adjective": ["kiên nhẫn"]}
worker	{"noun": ["công nhân", "người lao động"]}
news	{"noun": ["tin tức"]}
test	{"noun": ["bài kiểm tra", "thử nghiệm"], "verb": ["kiểm tra", "thử nghiệm"]}
movie	{"noun": ["phim", "bộ phim"]}
certain	{"adjective": ["chắc chắn", "nhất định"], "pronoun": ["một số"]}
north	{"noun": ["phía bắc"], "adjective": ["ở phía bắc"], "adverb": ["về phía bắc"]}
personal	{"adjective": ["cá nhân", "riêng tư"]}
simply	{"adverb": ["đơn giản", "chỉ"]}
third	{"adjective": ["thứ ba"], "noun": ["phần ba"]}
technology	{"noun": ["công nghệ"]}
catch	{"verb": ["bắt", "nắm bắt", "gặp phải"], "noun": ["sự bắt", "mẻ lưới"]}
step	{"noun": ["bước", "bậc"], "verb": ["bước đi"]}
baby	{"noun": ["em bé"], "adjective": ["bé nhỏ"]}
computer	{"noun": ["máy tính"]}
type	{"noun": ["loại", "kiểu"], "verb": ["đánh máy"]}
attention	{"noun": ["sự chú ý"]}
draw	{"verb": ["vẽ", "kéo", "thu hút"], "noun": ["sự thu hút", "trận hòa"]}
film	{"noun": ["phim", "màng phim"], "verb": ["quay phim"]}
republican	{"noun": ["người cộng hòa"], "adjective": ["thuộc đảng cộng hòa"]}
organization	{"noun": ["tổ chức"]}
tree	{"noun": ["cây"]}
source	{"noun": ["nguồn", "nguồn gốc"], "verb": ["lấy từ nguồn"]}
red	{"adjective": ["đỏ"], "noun": ["màu đỏ"]}
nearly	{"adverb": ["gần như"]}
choose	{"verb": ["chọn", "lựa chọn"]}
cause	{"noun": ["nguyên nhân", "lý do"], "verb": ["gây ra"]}
hair	{"noun": ["tóc"]}
century	{"noun": ["thế kỷ"]}
evidence	{"noun": ["bằng chứng"]}
window	{"noun": ["cửa sổ"]}
difficult	{"adjective": ["khó khăn"]}
listen	{"verb": ["nghe"]}
soon	{"adverb": ["sớm"]}
culture	{"noun": ["văn hóa"]}
billion	{"noun": ["tỷ"]}
chance	{"noun": ["cơ hội", "may mắn"]}
brother	{"noun": ["anh trai", "em trai"]}
energy	{"noun": ["năng lượng"]}
realize	{"verb": ["nhận ra", "thực hiện"]}
period	{"noun": ["thời kỳ", "giai đoạn", "dấu chấm"], "adjective": ["thuộc thời kỳ"]}
summer	{"noun": ["mùa hè"]}
hundred	{"noun": ["trăm"]}
available	{"adjective": ["có sẵn", "sẵn sàng"]}
plant	{"noun": ["thực vật", "nhà máy"], "verb": ["trồng", "gieo"]}
likely	{"adjective": ["có khả năng", "có thể"], "adverb": ["có lẽ"]}
opportunity	{"noun": ["cơ hội"]}
term	{"noun": ["kỳ hạn", "điều khoản", "thuật ngữ"], "verb": ["gọi là"]}
short	{"adjective": ["ngắn", "lùn"], "adverb": ["ngắn gọn"]}
letter	{"noun": ["lá thư", "chữ cái"]}
condition	{"noun": ["điều kiện", "tình trạng"], "verb": ["quy định", "làm cho quen"]}
choice	{"noun": ["sự lựa chọn"]}
single	{"adjective": ["đơn", "độc thân"], "noun": ["người độc thân"]}
rule	{"noun": ["quy tắc", "luật lệ"], "verb": ["cai trị", "điều khiển"]}
daughter	{"noun": ["con gái"]}
administration	{"noun": ["chính quyền", "sự quản lý"]}
south	{"noun": ["phía nam"], "adjective": ["ở phía nam"], "adverb": ["về phía nam"]}
husband	{"noun": ["chồng"]}
congress	{"noun": ["quốc hội"]}
floor	{"noun": ["sàn nhà", "tầng"], "verb": ["làm choáng váng"]}
campaign	{"noun": ["chiến dịch"], "verb": ["tham gia chiến dịch"]}
material	{"noun": ["vật liệu", "tài liệu"], "adjective": ["vật chất", "quan trọng"]}
population	{"noun": ["dân số"]}
economy	{"noun": ["nền kinh tế"]}
medical	{"adjective": ["y tế", "thuộc về y học"]}
hospital	{"noun": ["bệnh viện"]}
church	{"noun": ["nhà thờ"]}
close	{"verb": ["đóng", "kết thúc"], "adjective": ["gần", "thân thiết"], "adverb": ["gần"]}
risk	{"noun": ["rủi ro", "nguy cơ"], "verb": ["liều", "mạo hiểm"]}
thousand	{"noun": ["nghìn"]}
current	{"adjective": ["hiện tại", "đương thời"], "noun": ["dòng chảy", "luồng"]}
fire	{"noun": ["lửa", "đám cháy"], "verb": ["sa thải", "bắn"]}
future	{"noun": ["tương lai"], "adjective": ["thuộc về tương lai"]}
wrong	{"adjective": ["sai", "không đúng"], "noun": ["điều sai trái"], "adverb": ["sai"]}
involve	{"verb": ["liên quan", "dính líu"]}
defense	{"noun": ["sự phòng thủ", "quốc phòng"]}
behavior	{"noun": ["hành vi", "cách cư xử"]}
anyone	{"pronoun": ["bất cứ ai", "ai đó"]}
increase	{"verb": ["tăng lên"], "noun": ["sự tăng lên"]}
security	{"noun": ["an ninh", "sự bảo vệ"]}
myself	{"pronoun": ["chính tôi", "tự tôi"]}
bank	{"noun": ["ngân hàng", "bờ (sông)"], "verb": ["gửi tiền vào ngân hàng"]}
certainly	{"adverb": ["chắc chắn", "nhất định"]}
west	{"noun": ["phía tây"], "adjective": ["ở phía tây"], "adverb": ["về phía tây"]}
sport	{"noun": ["thể thao"], "verb": ["thể hiện", "chơi thể thao"]}
board	{"noun": ["bảng", "ủy ban"], "verb": ["lên tàu", "lên xe"]}
seek	{"verb": ["tìm kiếm", "theo đuổi"]}
per	{"preposition": ["mỗi"]}
subject	{"noun": ["chủ đề", "môn học", "đối tượng"], "verb": ["bắt phải", "chi phối"], "adjective": ["phụ thuộc"]}
officer	{"noun": ["sĩ quan", "cán bộ"]}
private	{"adjective": ["riêng tư", "cá nhân"]}
rest	{"noun": ["phần còn lại", "sự nghỉ ngơi"], "verb": ["nghỉ ngơi", "dựa vào"]}
deal	{"noun": ["thỏa thuận", "giao dịch"], "verb": ["giải quyết", "đối phó"]}
performance	{"noun": ["hiệu suất", "màn trình diễn"]}
fight	{"verb": ["đánh nhau", "chiến đấu"], "noun": ["cuộc chiến", "trận đánh"]}
throw	{"verb": ["ném", "vứt"], "noun": ["cú ném"]}
top	{"noun": ["đỉnh", "ngọn", "phần trên"], "adjective": ["hàng đầu", "cao nhất"], "verb": ["vượt qua"]}
quickly	{"adverb": ["nhanh chóng"]}
past	{"noun": ["quá khứ"], "adjective": ["đã qua", "cũ"], "preposition": ["qua", "vượt quá"], "adverb": ["qua"]}
goal	{"noun": ["mục tiêu", "bàn thắng"]}
bed	{"noun": ["giường"]}
order	{"noun": ["đơn đặt hàng", "trật tự", "mệnh lệnh"], "verb": ["đặt hàng", "ra lệnh"]}
author	{"noun": ["tác giả"]}
fill	{"verb": ["lấp đầy", "đổ đầy"]}
represent	{"verb": ["đại diện", "tượng trưng"]}
focus	{"noun": ["tiêu điểm", "trọng tâm"], "verb": ["tập trung"]}
foreign	{"adjective": ["nước ngoài", "ngoại quốc"]}
drop	{"verb": ["rơi", "thả"], "noun": ["giọt", "sự giảm sút"]}
blood	{"noun": ["máu"]}
upon	{"preposition": ["trên"]}
agency	{"noun": ["cơ quan", "đại lý"]}
push	{"verb": ["đẩy", "thúc đẩy"], "noun": ["sự đẩy", "sự thúc đẩy"]}
nature	{"noun": ["thiên nhiên", "bản chất"]}
color	{"noun": ["màu sắc"], "verb": ["tô màu"]}
recently	{"adverb": ["gần đây"]}
store	{"noun": ["cửa hàng"], "verb": ["cất giữ", "lưu trữ"]}
reduce	{"verb": ["giảm", "hạ bớt"]}
sound	{"noun": ["âm thanh"], "verb": ["nghe có vẻ", "vang lên"], "adjective": ["khỏe mạnh", "vững chắc"]}
note	{"noun": ["ghi chú", "nốt nhạc"], "verb": ["ghi chú", "lưu ý"]}
fine	{"adjective": ["tốt", "đẹp", "khỏe"], "noun": ["tiền phạt"], "verb": ["phạt tiền"]}
near	{"adjective": ["gần"], "preposition": ["gần"], "adverb": ["gần"]}
movement	{"noun": ["sự chuyển động", "phong trào"]}
page	{"noun": ["trang (sách)"]}
enter	{"verb": ["vào", "tham gia"]}
common	{"adjective": ["chung", "phổ biến"]}
share	{"noun": ["cổ phần", "phần"], "verb": ["chia sẻ", "dùng chung"]}
poor	{"adjective": ["nghèo", "kém"]}
natural	{"adjective": ["tự nhiên", "bẩm sinh"]}
race	{"noun": ["cuộc đua", "chủng tộc"], "verb": ["đua", "chạy đua"]}
concern	{"noun": ["mối quan tâm", "sự lo lắng"], "verb": ["quan tâm", "lo lắng"]}
series	{"noun": ["chuỗi", "loạt"]}
significant	{"adjective": ["quan trọng", "đáng kể"]}
similar	{"adjective": ["tương tự", "giống nhau"]}
hot	{"adjective": ["nóng"]}
language	{"noun": ["ngôn ngữ"]}
usually	{"adverb": ["thường xuyên", "thường lệ"]}
response	{"noun": ["sự phản hồi", "câu trả lời"]}
dead	{"adjective": ["chết", "tắt"], "adverb": ["hoàn toàn"]}
rise	{"verb": ["tăng lên", "mọc lên"], "noun": ["sự tăng lên", "sự nổi dậy"]}
animal	{"noun": ["động vật"]}
factor	{"noun": ["yếu tố", "nhân tố"]}
decade	{"noun": ["thập kỷ"]}
article	{"noun": ["bài báo", "mục", "điều khoản"]}
shoot	{"verb": ["bắn", "quay phim"], "noun": ["chồi", "sự bắn"]}
east	{"noun": ["phía đông"], "adjective": ["ở phía đông"], "adverb": ["về phía đông"]}
seven	{"noun": ["số bảy"]}
save	{"verb": ["cứu", "tiết kiệm"], "preposition": ["ngoại trừ"]}
artist	{"noun": ["nghệ sĩ"]}
scene	{"noun": ["cảnh", "hiện trường"]}
eight	{"noun": ["số tám"]}
stock	{"noun": ["cổ phiếu", "hàng tồn kho"], "verb": ["tích trữ", "cung cấp"]}
career	{"noun": ["sự nghiệp"]}
despite	{"preposition": ["mặc dù"]}
central	{"adjective": ["trung tâm", "chủ yếu"]}
thus	{"adverb": ["do đó", "như vậy"]}
treatment	{"noun": ["sự điều trị", "cách đối xử"]}
beyond	{"preposition": ["vượt quá", "ngoài"], "adverb": ["ở phía xa"]}
happy	{"adjective": ["hạnh phúc", "vui vẻ"]}
exactly	{"adverb": ["chính xác", "đúng"]}
protect	{"verb": ["bảo vệ"]}
approach	{"verb": ["tiếp cận", "đến gần"], "noun": ["sự tiếp cận", "phương pháp"]}
lie	{"verb": ["nằm", "nói dối"], "noun": ["sự nói dối", "vị trí"]}
size	{"noun": ["kích thước", "cỡ"]}
dog	{"noun": ["con chó"]}
fund	{"noun": ["quỹ"], "verb": ["cấp vốn", "tài trợ"]}
serious	{"adjective": ["nghiêm trọng", "nghiêm túc"]}
occur	{"verb": ["xảy ra", "diễn ra"]}
media	{"noun": ["phương tiện truyền thông", "đa phương tiện"]}
ready	{"adjective": ["sẵn sàng"], "verb": ["chuẩn bị"]}
sign	{"noun": ["dấu hiệu", "biển báo"], "verb": ["ký tên"]}
thought	{"noun": ["suy nghĩ", "ý nghĩ"]}
list	{"noun": ["danh sách"], "verb": ["liệt kê"]}
individual	{"adjective": ["cá nhân", "riêng lẻ"], "noun": ["cá nhân"]}
simple	{"adjective": ["đơn giản"]}
quality	{"noun": ["chất lượng", "phẩm chất"]}
pressure	{"noun": ["áp lực", "sức ép"], "verb": ["gây áp lực"]}
accept	{"verb": ["chấp nhận"]}
answer	{"noun": ["câu trả lời"], "verb": ["trả lời"]}
resource	{"noun": ["tài nguyên"]}
identify	{"verb": ["xác định", "nhận dạng"]}
left	{"adjective": ["bên trái", "còn lại"], "verb": ["rời đi"], "noun": ["bên trái"]}
meeting	{"noun": ["cuộc họp", "buổi gặp mặt"]}
determine	{"verb": ["xác định", "quyết định"]}
prepare	{"verb": ["chuẩn bị"]}
disease	{"noun": ["bệnh tật"]}
whatever	{"pronoun": ["bất cứ điều gì"], "adjective": ["bất cứ"]}
success	{"noun": ["sự thành công"]}
argue	{"verb": ["tranh cãi", "lý luận"]}
recognize	{"verb": ["nhận ra", "công nhận"]}
cup	{"noun": ["cốc", "tách"]}
particularly	{"adverb": ["đặc biệt", "cụ thể"]}
amount	{"noun": ["số lượng"], "verb": ["lên tới"]}
ability	{"noun": ["khả năng"]}
staff	{"noun": ["nhân viên", "đội ngũ"], "verb": ["bố trí nhân sự"]}
indicate	{"verb": ["chỉ ra", "cho thấy"]}
character	{"noun": ["tính cách", "nhân vật", "ký tự"]}
growth	{"noun": ["sự tăng trưởng", "sự phát triển"]}
loss	{"noun": ["sự mất mát", "thua lỗ"]}
degree	{"noun": ["mức độ", "bằng cấp"]}
wonder	{"verb": ["tự hỏi", "ngạc nhiên"], "noun": ["điều kỳ diệu"]}
attack	{"noun": ["cuộc tấn công"], "verb": ["tấn công"]}
herself	{"pronoun": ["chính cô ấy"]}
region	{"noun": ["khu vực", "vùng"]}
television	{"noun": ["ti vi"]}
box	{"noun": ["hộp", "thùng"]}
training	{"noun": ["sự đào tạo", "khóa đào tạo"]}
pretty	{"adjective": ["xinh đẹp", "đáng yêu"], "adverb": ["khá"]}
everybody	{"pronoun": ["mọi người"]}
trade	{"noun": ["thương mại", "buôn bán"], "verb": ["buôn bán"]}
election	{"noun": ["cuộc bầu cử"]}
physical	{"adjective": ["vật lý", "thể chất"]}
lay	{"verb": ["đặt", "để"], "noun": ["lớp", "địa hình"]}
general	{"adjective": ["chung", "tổng quát"], "noun": ["tướng quân"]}
feeling	{"noun": ["cảm giác", "cảm xúc"]}
standard	{"noun": ["tiêu chuẩn"], "adjective": ["tiêu chuẩn"]}
message	{"noun": ["tin nhắn", "thông điệp"]}
fail	{"verb": ["thất bại"], "noun": ["sự thất bại"]}
bill	{"noun": ["hóa đơn", "dự luật"]}
outside	{"adverb": ["bên ngoài"], "preposition": ["bên ngoài"], "noun": ["bên ngoài"]}
arrive	{"verb": ["đến", "tới"]}
analysis	{"noun": ["sự phân tích"]}
benefit	{"noun": ["lợi ích"], "verb": ["mang lại lợi ích"]}
sex	{"noun": ["giới tính", "tình dục"]}
forward	{"adverb": ["phía trước", "tiến lên"], "verb": ["chuyển tiếp"], "adjective": ["phía trước"]}
lawyer	{"noun": ["luật sư"]}
present	{"adjective": ["hiện tại", "có mặt"], "noun": ["món quà", "hiện tại"], "verb": ["trình bày", "giới thiệu"]}
section	{"noun": ["phần", "khu vực"]}
environmental	{"adjective": ["thuộc về môi trường"]}
glass	{"noun": ["kính", "ly"]}
skill	{"noun": ["kỹ năng"]}
sister	{"noun": ["chị gái", "em gái"]}
pm	{"noun": ["giờ chiều"]}
professor	{"noun": ["giáo sư"]}
operation	{"noun": ["hoạt động", "ca phẫu thuật"]}
financial	{"adjective": ["tài chính"]}
crime	{"noun": ["tội phạm"]}
stage	{"noun": ["giai đoạn", "sân khấu"]}
ok	{"adjective": ["ổn", "được"], "adverb": ["được thôi"], "interjection": ["được rồi"]}
compare	{"verb": ["so sánh"]}
authority	{"noun": ["quyền lực", "cơ quan"]}
miss	{"verb": ["nhớ", "bỏ lỡ"], "noun": ["cô", "cô gái"]}
design	{"noun": ["thiết kế"], "verb": ["thiết kế"]}
sort	{"noun": ["loại"], "verb": ["sắp xếp"]}
act	{"noun": ["hành động", "đạo luật"], "verb": ["hành động", "đóng vai"]}
ten	{"noun": ["mười"]}
knowledge	{"noun": ["kiến thức"]}
gun	{"noun": ["súng"]}
station	{"noun": ["nhà ga", "trạm"]}
blue	{"adjective": ["xanh dương"], "noun": ["màu xanh dương"]}
strategy	{"noun": ["chiến lược"]}
clearly	{"adverb": ["rõ ràng"]}
discuss	{"verb": ["thảo luận"]}
indeed	{"adverb": ["thật vậy", "quả thực"]}
truth	{"noun": ["sự thật"]}
song	{"noun": ["bài hát"]}
example	{"noun": ["ví dụ"]}
democratic	{"adjective": ["dân chủ"]}
check	{"noun": ["kiểm tra", "séc"], "verb": ["kiểm tra"]}
environment	{"noun": ["môi trường"]}
leg	{"noun": ["chân"]}
dark	{"adjective": ["tối", "đen tối"], "noun": ["bóng tối"]}
various	{"adjective": ["đa dạng", "khác nhau"]}
rather	{"adverb": ["khá", "hơn là"]}
laugh	{"verb": ["cười"], "noun": ["tiếng cười"]}
guess	{"verb": ["đoán"], "noun": ["sự phỏng đoán"]}
executive	{"noun": ["nhà điều hành", "ban điều hành"], "adjective": ["điều hành"]}
prove	{"verb": ["chứng minh"]}
hang	{"verb": ["treo", "mắc"]}
entire	{"adjective": ["toàn bộ"]}
rock	{"noun": ["đá", "nhạc rock"], "verb": ["rung lắc"]}
forget	{"verb": ["quên"]}
claim	{"verb": ["tuyên bố", "đòi hỏi"], "noun": ["sự tuyên bố", "yêu sách"]}
remove	{"verb": ["loại bỏ", "di chuyển"]}
manager	{"noun": ["người quản lý"]}
enjoy	{"verb": ["thưởng thức", "tận hưởng"]}
network	{"noun": ["mạng lưới"]}
legal	{"adjective": ["hợp pháp", "pháp lý"]}
religious	{"adjective": ["tôn giáo"]}
cold	{"adjective": ["lạnh"], "noun": ["cơn cảm lạnh"]}
final	{"adjective": ["cuối cùng"]}
main	{"adjective": ["chính", "chủ yếu"]}
science	{"noun": ["khoa học"]}
green	{"adjective": ["xanh lá cây"], "noun": ["màu xanh lá cây"]}
memory	{"noun": ["ký ức", "bộ nhớ"]}
card	{"noun": ["thẻ", "thiệp"]}
above	{"adverb": ["ở trên"], "preposition": ["ở trên"]}
seat	{"noun": ["chỗ ngồi"], "verb": ["ngồi"]}
cell	{"noun": ["tế bào", "ô", "phòng giam"]}
establish	{"verb": ["thành lập", "thiết lập"]}
nice	{"adjective": ["tốt", "đẹp", "dễ chịu"]}
trial	{"noun": ["phiên tòa", "thử nghiệm"]}
expert	{"noun": ["chuyên gia"], "adjective": ["chuyên gia"]}
spring	{"noun": ["mùa xuân", "lò xo"], "verb": ["bật lên"]}
firm	{"noun": ["công ty"], "adjective": ["chắc chắn", "kiên quyết"]}
democrat	{"noun": ["người theo đảng dân chủ"]}
radio	{"noun": ["radio"]}
visit	{"verb": ["thăm", "viếng"], "noun": ["chuyến thăm"]}
management	{"noun": ["sự quản lý", "ban quản lý"]}
avoid	{"verb": ["tránh"]}
imagine	{"verb": ["tưởng tượng"]}
tonight	{"noun": ["tối nay"], "adverb": ["tối nay"]}
huge	{"adjective": ["lớn", "khổng lồ"]}
ball	{"noun": ["quả bóng", "buổi khiêu vũ"]}
yourself	{"pronoun": ["chính bạn"]}
finish	{"verb": ["kết thúc", "hoàn thành"], "noun": ["sự kết thúc"]}
theory	{"noun": ["lý thuyết"]}
impact	{"noun": ["tác động", "ảnh hưởng"], "verb": ["tác động", "ảnh hưởng"]}
respond	{"verb": ["phản hồi", "đáp lại"]}
statement	{"noun": ["tuyên bố", "lời phát biểu"]}
maintain	{"verb": ["duy trì", "bảo trì"]}
charge	{"noun": ["phí", "trách nhiệm", "sự buộc tội"], "verb": ["tính phí", "buộc tội"]}
popular	{"adjective": ["phổ biến", "nổi tiếng"]}
traditional	{"adjective": ["truyền thống"]}
onto	{"preposition": ["lên trên"]}
reveal	{"verb": ["tiết lộ", "bộc lộ"]}
direction	{"noun": ["phương hướng", "chỉ dẫn"]}
weapon	{"noun": ["vũ khí"]}
employee	{"noun": ["nhân viên"]}
contain	{"verb": ["chứa đựng", "bao gồm"]}
cultural	{"adjective": ["văn hóa"]}
peace	{"noun": ["hòa bình"]}
pain	{"noun": ["đau đớn"]}
apply	{"verb": ["áp dụng", "nộp đơn"]}
wide	{"adjective": ["rộng"]}
measure	{"noun": ["biện pháp", "số đo"], "verb": ["đo lường"]}
shake	{"verb": ["lắc", "rung"], "noun": ["cái lắc", "sự rung"]}
fly	{"verb": ["bay"], "noun": ["con ruồi"]}
interview	{"noun": ["cuộc phỏng vấn"], "verb": ["phỏng vấn"]}
manage	{"verb": ["quản lý", "xoay xở"]}
chair	{"noun": ["ghế", "chủ tịch"], "verb": ["chủ trì"]}
fish	{"noun": ["cá"], "verb": ["câu cá"]}
particular	{"adjective": ["cụ thể", "đặc biệt"]}
camera	{"noun": ["máy ảnh"]}
structure	{"noun": ["cấu trúc", "công trình"]}
politics	{"noun": ["chính trị"]}
bit	{"noun": ["mảnh", "chút"]}
perform	{"verb": ["thực hiện", "biểu diễn"]}
weight	{"noun": ["cân nặng", "trọng lượng"]}
suddenly	{"adverb": ["đột nhiên"]}
discover	{"verb": ["khám phá", "phát hiện"]}
candidate	{"noun": ["ứng cử viên"]}
production	{"noun": ["sản xuất", "sản phẩm"]}
treat	{"verb": ["đối xử", "điều trị"], "noun": ["món quà", "sự chiêu đãi"]}
